scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S
dd68789bb019,transition,2026,243440769806361,1000,10,50,0.3,0.5,1.0,0.5,100.0,1.0
8f24b5921b17,transition,2026,157387827845911,1000,10,50,0.3,1.0,1.0,0.5,100.0,1.0
ed72d96421f8,transition,2026,261077529272824,1000,10,50,0.3,2.0,1.0,0.5,100.0,1.0
15d1cf2e5f2c,transition,2026,23990868270892,1000,10,50,0.3,4.0,1.0,0.5,100.0,1.0
b3e30766a870,transition,2026,197787663116400,1000,10,100,0.3,0.5,1.0,0.5,100.0,1.0
c3b437871972,transition,2026,215178793130354,1000,10,100,0.3,1.0,1.0,0.5,100.0,1.0
c20f24cb654d,transition,2026,213370297607501,1000,10,100,0.3,2.0,1.0,0.5,100.0,1.0
340c69dc3c0c,transition,2026,57227920292876,1000,10,100,0.3,4.0,1.0,0.5,100.0,1.0
ddb5e5232688,transition,2026,243773303105160,1000,10,200,0.3,0.5,1.0,0.5,100.0,1.0
2198128ec08f,transition,2026,36937030090895,1000,10,200,0.3,1.0,1.0,0.5,100.0,1.0
d8cbca145d10,transition,2026,238369780292880,1000,10,200,0.3,2.0,1.0,0.5,100.0,1.0
f56f64af5e1e,transition,2026,269858779389470,1000,10,200,0.3,4.0,1.0,0.5,100.0,1.0
7a6d2e3103de,transition,2026,134609344988126,1000,3,10,0.6,0.5,1.0,0.5,100.0,1.0
692d1b8546ab,transition,2026,115642456164011,1000,3,10,0.6,1.0,1.0,0.5,100.0,1.0
429249aaa962,transition,2026,73196068579682,1000,3,10,0.6,2.0,1.0,0.5,100.0,1.0
0f174f7924d3,transition,2026,16592792003795,1000,3,10,0.6,4.0,1.0,0.5,100.0,1.0
717ed5a6aa68,transition,2026,124789564287592,1000,3,20,0.6,0.5,1.0,0.5,100.0,1.0
22cc5d88c82d,transition,2026,38261137917997,1000,3,20,0.6,1.0,1.0,0.5,100.0,1.0
8c0114e9b732,transition,2026,153936273717042,1000,3,20,0.6,2.0,1.0,0.5,100.0,1.0
a200a4a5be63,transition,2026,178123646025315,1000,3,20,0.6,4.0,1.0,0.5,100.0,1.0
00fc88e9450e,transition,2026,1084628747534,1000,3,50,0.6,0.5,1.0,0.5,100.0,1.0
03bd46903d63,transition,2026,4111467560291,1000,3,50,0.6,1.0,1.0,0.5,100.0,1.0
a1c7f7b32435,transition,2026,177880226276405,1000,3,50,0.6,2.0,1.0,0.5,100.0,1.0
8899fb359043,transition,2026,150194925965379,1000,3,50,0.6,4.0,1.0,0.5,100.0,1.0
8e790f991342,transition,2026,156650603877186,1000,3,100,0.6,0.5,1.0,0.5,100.0,1.0
819c2ae80574,transition,2026,142507734730100,1000,3,100,0.6,1.0,1.0,0.5,100.0,1.0
aabd65789bf0,transition,2026,187730427943920,1000,3,100,0.6,2.0,1.0,0.5,100.0,1.0
427467957c5f,transition,2026,73067721489503,1000,3,100,0.6,4.0,1.0,0.5,100.0,1.0
bbc99d757381,transition,2026,206474604540801,1000,3,200,0.6,0.5,1.0,0.5,100.0,1.0
f7ea60de0858,transition,2026,272586019571800,1000,3,200,0.6,1.0,1.0,0.5,100.0,1.0
a3f5ee167ab9,transition,2026,180276656765625,1000,3,200,0.6,2.0,1.0,0.5,100.0,1.0
aec83c2bac22,transition,2026,192175026187298,1000,3,200,0.6,4.0,1.0,0.5,100.0,1.0
8e87c71db245,transition,2026,156713812341317,1000,5,10,0.6,0.5,1.0,0.5,100.0,1.0
07a72f143046,transition,2026,8414630785094,1000,5,10,0.6,1.0,1.0,0.5,100.0,1.0
