scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S,delta,radius,identifiability_score,lower,upper,empirical_hit_rate,empirical_hit_rate_se,gaussian_hit_rate
4bb25833dd0d,default,12345,83229356055821,1000,10,500,0.6,2.0,1.0,0.5,100.0,1.0,0.2,1.1156633345897344,68.0611554881341,9.32779421342744,90.58612133494906,1.0,0.0,1.0
3653b018575e,default,12345,59733064570718,1000,10,1000,0.6,0.5,1.0,0.5,100.0,1.0,0.05,0.5695489178350956,8.822635699167849,58.58086077142879,185.0182001502066,1.0,0.0,1.0
3653b018575e,default,12345,59733064570718,1000,10,1000,0.6,0.5,1.0,0.5,100.0,1.0,0.1,0.7991916272891656,12.379931487182535,46.06856354120016,232.78072333470203,1.0,0.0,1.0
3653b018575e,default,12345,59733064570718,1000,10,1000,0.6,0.5,1.0,0.5,100.0,1.0,0.2,1.1156633345897344,17.28225768809898,32.893207227840485,319.4397295715983,1.0,0.0,1.0
40d13fa46864,default,12345,71267460081764,1000,10,1000,0.6,1.0,1.0,0.5,100.0,1.0,0.05,0.5695489178350956,20.543103583039844,31.195511888166646,98.52599272709855,1.0,0.0,1.0
40d13fa46864,default,12345,71267460081764,1000,10,1000,0.6,1.0,1.0,0.5,100.0,1.0,0.1,0.7991916272891656,28.826104076371983,24.532456551426986,123.9605175905068,1.0,0.0,1.0
40d13fa46864,default,12345,71267460081764,1000,10,1000,0.6,1.0,1.0,0.5,100.0,1.0,0.2,1.1156633345897344,40.24094634995419,17.516308630556843,170.10821879667108,1.0,0.0,1.0
b31370818e1a,default,12345,196896073289242,1000,10,1000,0.6,2.0,1.0,0.5,100.0,1.0,0.05,0.5695489178350956,49.13740149648894,16.612250983505156,52.467115316111446,1.0,0.0,1.0
b31370818e1a,default,12345,196896073289242,1000,10,1000,0.6,2.0,1.0,0.5,100.0,1.0,0.1,0.7991916272891656,68.94965231785443,13.064037126085173,66.01152235106751,1.0,0.0,1.0
b31370818e1a,default,12345,196896073289242,1000,10,1000,0.6,2.0,1.0,0.5,100.0,1.0,0.2,1.1156633345897344,96.25300916210325,9.32779421342744,90.58612133494906,1.0,0.0,1.0
cb6195b23ae7,default,12345,223619983751911,1000,10,5000,0.6,0.5,1.0,0.5,100.0,1.0,0.05,0.5695489178350956,19.728013164055696,58.58086077142879,185.0182001502066,1.0,0.0,1.0
cb6195b23ae7,default,12345,223619983751911,1000,10,5000,0.6,0.5,1.0,0.5,100.0,1.0,0.1,0.7991916272891656,27.682368362130212,46.06856354120016,232.78072333470203,1.0,0.0,1.0
cb6195b23ae7,default,12345,223619983751911,1000,10,5000,0.6,0.5,1.0,0.5,100.0,1.0,0.2,1.1156633345897344,38.644302995257675,32.893207227840485,319.4397295715983,1.0,0.0,1.0
ce24c7efb42c,default,12345,226657368519724,1000,10,5000,0.6,1.0,1.0,0.5,100.0,1.0,0.05,0.5695489178350956,45.93577608049659,31.195511888166646,98.52599272709855,1.0,0.0,1.0
ce24c7efb42c,default,12345,226657368519724,1000,10,5000,0.6,1.0,1.0,0.5,100.0,1.0,0.1,0.7991916272891656,64.45712824125154,24.532456551426986,123.9605175905068,1.0,0.0,1.0
ce24c7efb42c,default,12345,226657368519724,1000,10,5000,0.6,1.0,1.0,0.5,100.0,1.0,0.2,1.1156633345897344,89.98149151741961,17.516308630556843,170.10821879667108,1.0,0.0,1.0
7af5a3cee504,default,12345,135195433821444,1000,10,5000,0.6,2.0,1.0,0.5,100.0,1.0,0.05,0.5695489178350956,109.87456998384917,16.612250983505156,52.467115316111446,1.0,0.0,1.0
7af5a3cee504,default,12345,135195433821444,1000,10,5000,0.6,2.0,1.0,0.5,100.0,1.0,0.1,0.7991916272891656,154.1761096076984,13.064037126085173,66.01152235106751,1.0,0.0,1.0
7af5a3cee504,default,12345,135195433821444,1000,10,5000,0.6,2.0,1.0,0.5,100.0,1.0,0.2,1.1156633345897344,215.22827152537295,9.32779421342744,90.58612133494906,1.0,0.0,1.0
a82896f736c3,default,12345,184892284942019,1000,20,500,0.6,0.5,1.0,0.5,100.0,1.0,0.05,0.5695489178350956,15.615425388967381,58.58086077142879,185.0182001502066,1.0,0.0,1.0
