truth_h,lambda_0,lambda_1,policy,mean_cumulative_validity_loss,mean_cumulative_update_cost,mean_total_cost,mean_regret,mean_lead_time,mean_log_memory_std,mean_tau_valid,mean_tau_detect,mean_delay_gap,mean_masking_index,schedule_mode
0.1,4.0,0.0,controller,262.1681512026105,102.66666666666667,364.8348178692772,48.414777881826915,52.666666666666664,0.7061647327538613,70.0,17.333333333333332,-52.666666666666664,0.09396372152955668,default
0.1,4.0,0.0,fixed_policy,146.50545739139858,0.0,146.50545739139858,-67.24791592938502,0.0,8.881784197001252e-16,70.0,70.0,0.0,0.0054458095401933755,default
0.1,4.0,0.0,deploy_only,282.7238209087286,134.66666666666666,417.39048757539524,68.97044758794503,0.0,0.4656909006518595,70.0,70.0,0.0,0.023508180370628493,default
0.1,4.0,0.0,detector_only,255.54447973120605,93.33333333333333,348.8778130645394,41.79110641042245,52.666666666666664,0.6912756292760811,70.0,17.333333333333332,-52.666666666666664,0.14636967302763362,default
0.1,4.0,2.0,oracle,221.4806962758711,83.72732295508752,305.2080192309586,0.0,50.0,0.34770612960984426,70.0,20.0,-50.0,0.0,default
0.1,4.0,2.0,controller,272.2511678781728,112.74968334222893,385.0008512204017,50.77047160230166,52.666666666666664,0.7061647327538613,70.0,17.333333333333332,-52.666666666666664,0.09396372152955668,default
0.1,4.0,2.0,fixed_policy,146.50545739139858,0.0,146.50545739139858,-74.97523888447253,0.0,8.881784197001252e-16,70.0,70.0,0.0,0.0054458095401933755,default
0.1,4.0,2.0,deploy_only,292.16651222052303,144.10935797846108,436.2758701989841,70.68581594465194,0.0,0.4656909006518595,70.0,70.0,0.0,0.023508180370628493,default
0.1,4.0,2.0,detector_only,265.35428277007804,103.14313637220528,368.4974191422833,43.8735864942069,52.666666666666664,0.6912756292760811,70.0,17.333333333333332,-52.666666666666664,0.14636967302763362,default
0.1,4.0,4.0,oracle,229.20801923095868,91.45464591017509,320.66266514113374,0.0,50.0,0.34770612960984426,70.0,20.0,-50.0,0.0,default
0.1,4.0,4.0,controller,282.33418455373504,122.8327000177912,405.1668845715262,53.12616532277634,52.666666666666664,0.7061647327538613,70.0,17.333333333333332,-52.666666666666664,0.09396372152955668,default
0.1,4.0,4.0,fixed_policy,146.50545739139858,0.0,146.50545739139858,-82.7025618395601,0.0,8.881784197001252e-16,70.0,70.0,0.0,0.0054458095401933755,default
0.1,4.0,4.0,deploy_only,301.60920353231745,153.5520492902555,455.1612528225729,72.40118430135877,0.0,0.4656909006518595,70.0,70.0,0.0,0.023508180370628493,default
0.1,4.0,4.0,detector_only,275.16408580894995,112.95293941107724,388.1170252200272,45.95606657799129,52.666666666666664,0.6912756292760811,70.0,17.333333333333332,-52.666666666666664,0.14636967302763362,default
0.5,0.0,0.0,oracle,267.9992107570552,0.0,267.9992107570552,0.0,50.0,0.6672727096787078,70.0,20.0,-50.0,0.0,default
0.5,0.0,0.0,controller,281.95581801840575,0.0,281.95581801840575,13.956607261350541,54.666666666666664,0.45510664803424056,70.0,15.333333333333334,-54.666666666666664,0.04438646736507192,default
0.5,0.0,0.0,fixed_policy,348.83293897288326,0.0,348.83293897288326,80.83372821582805,-37.0,8.881784197001252e-16,33.0,70.0,37.0,0.025853080895537686,default
0.5,0.0,0.0,deploy_only,282.4710606604862,0.0,282.4710606604862,14.471849903431007,0.0,0.4263173703681857,70.0,70.0,0.0,0.01697130253140383,default
0.5,0.0,0.0,detector_only,299.83001439585234,0.0,299.83001439585234,31.830803638797136,54.666666666666664,0.8500553403329314,70.0,15.333333333333334,-54.666666666666664,0.09841108997698916,default
0.5,0.0,2.0,oracle,295.73001092174,27.73080016468479,323.4608110864248,0.0,50.0,0.6672727096787078,70.0,20.0,-50.0,0.0,default
0.5,0.0,2.0,controller,289.68134423985356,7.72552622144777,297.4068704613013,-6.048666681886497,54.666666666666664,0.45510664803424056,70.0,15.333333333333334,-54.666666666666664,0.04438646736507192,default
0.5,0.0,2.0,fixed_policy,348.83293897288326,0.0,348.83293897288326,53.10292805114324,-37.0,8.881784197001252e-16,33.0,70.0,37.0,0.025853080895537686,default
0.5,0.0,2.0,deploy_only,289.8201065755261,7.349045915039871,297.169152490566,-5.909904346213921,0.0,0.4263173703681857,70.0,70.0,0.0,0.01697130253140383,default
0.5,0.0,2.0,detector_only,305.92038706635134,6.0903726704989465,312.0107597368503,10.190376144611283,54.666666666666664,0.8500553403329314,70.0,15.333333333333334,-54.666666666666664,0.09841108997698916,default
0.5,0.0,4.0,oracle,323.46081108642477,55.46160032936958,378.92241141579433,0.0,50.0,0.6672727096787078,70.0,20.0,-50.0,0.0,default
0.5,0.0,4.0,controller,297.40687046130125,15.45105244289554,312.8579229041968,-26.053940625123477,54.666666666666664,0.45510664803424056,70.0,15.333333333333334,-54.666666666666664,0.04438646736507192,default
