ambient_dim,intrinsic_dim,sample_size,epsilon,coupling,mean_spectral_radius,max_spectral_radius,mean_inverse_norm,max_inverse_norm,min_spectral_gap
8,2,128,0.5,yy,0.5636385,0.60401375,2.29934138,2.52534023,0.39598625
8,2,128,0.65,xy,0.44622961,0.48311854,1.80799193,1.93467957,0.51688146
8,2,128,0.65,xx,0.46682175,0.52590326,1.88261727,2.10927418,0.47409674
8,2,128,0.65,yy,0.46610687,0.5108707,1.8774894,2.0444492,0.4891293
8,2,128,0.8,xy,0.36833492,0.40383188,1.58447074,1.67737918,0.59616812
8,2,128,0.8,xx,0.38720959,0.44639882,1.63624896,1.80635453,0.55360118
8,2,128,0.8,yy,0.38600494,0.43141841,1.63143758,1.75876252,0.56858159
8,2,256,0.2,xy,0.78523109,0.80481877,4.66419052,5.12344349,0.19518123
8,2,256,0.2,xx,0.79847165,0.82351323,4.9964209,5.66614718,0.17648677
8,2,256,0.2,yy,0.80034089,0.83494946,5.02935542,6.05875015,0.16505054
8,2,256,0.3,xy,0.69256164,0.7185862,3.25712661,3.55348607,0.2814138
8,2,256,0.3,xx,0.70665899,0.74024606,3.42818559,3.84979722,0.25975394
8,2,256,0.3,yy,0.70957876,0.75644114,3.45519848,4.10578371,0.24355886
8,2,256,0.4,xy,0.60913781,0.63973615,2.56118319,2.77574336,0.36026385
8,2,256,0.4,xx,0.62346043,0.66301559,2.66746368,2.96749634,0.33698441
8,2,256,0.4,yy,0.62711609,0.68263665,2.6894576,3.15096245,0.31736335
8,2,256,0.5,xy,0.53475808,0.56818662,2.15120757,2.31581524,0.43181338
8,2,256,0.5,xx,0.54884659,0.59197407,2.22408339,2.45082462,0.40802593
8,2,256,0.5,yy,0.55294615,0.61391304,2.2420889,2.59009005,0.38608696
8,2,256,0.65,xy,0.43950703,0.47445971,1.78515943,1.90280367,0.52554029
8,2,256,0.65,xx,0.45270329,0.49755996,1.83137851,1.99028722,0.50244004
8,2,256,0.65,yy,0.45703321,0.52116894,1.84487228,2.08841926,0.47883106
8,2,256,0.8,xy,0.36217546,0.39635285,1.56844388,1.6565969,0.60364715
8,2,256,0.8,xx,0.37415696,0.41778485,1.60036996,1.71757812,0.58221515
8,2,256,0.8,yy,0.37837628,0.44140938,1.61067711,1.79021982,0.55859062
8,2,384,0.2,xy,0.78774263,0.80602181,4.71581393,5.15521865,0.19397819
8,2,384,0.2,xx,0.79593161,0.81103881,4.91068883,5.29209189,0.18896119
8,2,384,0.2,yy,0.79631039,0.81331045,4.92012988,5.35648621,0.18668955
8,2,384,0.3,xy,0.69592213,0.72085368,3.29130599,3.58235066,0.27914632
8,2,384,0.3,xx,0.70436622,0.72541205,3.38853623,3.64182045,0.27458795
8,2,384,0.3,yy,0.70519704,0.72854023,3.39842808,3.68378716,0.27145977
8,2,384,0.4,xy,0.61300888,0.64267885,2.58575647,2.79860289,0.35732115
8,2,384,0.4,xx,0.62155375,0.64689848,2.64623557,2.83204674,0.35310152
8,2,384,0.4,yy,0.62251858,0.65080306,2.65331941,2.86371352,0.34919694
8,2,384,0.5,xy,0.53887493,0.57140408,2.16975968,2.33319998,0.42859592
8,2,384,0.5,xx,0.54732107,0.57521444,2.21169719,2.35412899,0.42478556
8,2,384,0.5,yy,0.54824994,0.58000541,2.21652135,2.38098304,0.41999459
8,2,384,0.65,xy,0.44361961,0.47758537,1.79799706,1.91418837,0.52241463
8,2,384,0.65,xx,0.45158927,0.48088771,1.82502593,1.92636548,0.51911229
8,2,384,0.65,yy,0.45238353,0.48674058,1.82786908,1.9483325,0.51325942
8,2,384,0.8,xy,0.36600831,0.39908243,1.57771316,1.66412175,0.60091757
8,2,384,0.8,xx,0.3732771,0.40208715,1.59659836,1.67248455,0.59791285
8,2,384,0.8,yy,0.37394292,0.40840531,1.59842302,1.69034648,0.59159469
8,2,512,0.2,xy,0.78426203,0.79686717,4.64156268,4.92288724,0.20313283
8,2,512,0.2,xx,0.79115551,0.81030192,4.79838732,5.27153459,0.18969808
8,2,512,0.2,yy,0.79373932,0.80851641,4.86504662,5.22237956,0.19148359
8,2,512,0.3,xy,0.69121848,0.70824953,3.24228581,3.42758661,0.29175047
8,2,512,0.3,xx,0.69857011,0.72438993,3.3233385,3.6283144,0.27561007
8,2,512,0.3,yy,0.70209629,0.72184885,3.36633244,3.59516758,0.27815115
8,2,512,0.4,xy,0.60738975,0.62754035,2.54954324,2.68485457,0.37245965
8,2,512,0.4,xx,0.61499454,0.64595829,2.60115095,2.82452597,0.35404171
8,2,512,0.4,yy,0.61905855,0.64258853,2.63123274,2.79789569,0.35741147
8,2,512,0.5,xy,0.53263513,0.55463292,2.1413918,2.24533881,0.44536708
8,2,512,0.5,xx,0.54030305,0.57469626,2.17796175,2.35126078,0.42530374
8,2,512,0.5,yy,0.54458501,0.57108498,2.20001568,2.33146418,0.42891502
8,2,512,0.65,xy,0.43695396,0.45977937,1.77711546,1.85109553,0.54022063
8,2,512,0.65,xx,0.44439759,0.48094963,1.80144488,1.9265953,0.51905037
8,2,512,0.65,yy,0.4486368,0.47754924,1.81622005,1.91405599,0.52245076
8,2,512,0.8,xy,0.35938189,0.38147007,1.56166686,1.61673665,0.61852993
8,2,512,0.8,xx,0.36633562,0.40237311,1.57914319,1.6732848,0.59762689
8,2,512,0.8,yy,0.37030395,0.39941948,1.58966118,1.66505566,0.60058052
12,2,32,0.2,xy,0.7970871,0.8386966,4.99539386,6.19949726,0.1613034
12,2,32,0.2,xx,0.8761561,0.95719599,9.4660371,23.36229937,0.04280401
12,2,32,0.2,yy,0.88264067,0.94640525,9.23701599,18.65854245,0.05359475
12,2,32,0.3,xy,0.70877807,0.76789056,3.4720716,4.30831241,0.23210944
12,2,32,0.3,xx,0.79122469,0.90819657,5.29983725,10.89283891,0.09180343
12,2,32,0.3,yy,0.78936193,0.88040481,5.00093148,8.36154049,0.11959519
12,2,32,0.4,xy,0.62777376,0.69849445,2.71147283,3.31668851,0.30150555
12,2,32,0.4,xx,0.71107694,0.85753526,3.73061694,7.01928065,0.14246474
