ambient_dim,intrinsic_dim,sample_size,epsilon,coupling,mean_spectral_radius,max_spectral_radius,mean_operator_norm,max_operator_norm,mean_inverse_norm,max_inverse_norm,min_spectral_gap
12,1,64,0.4,xx,0.61254804,0.67095514,0.61254804,0.67095514,2.6156919,3.03909929,0.32904486
12,1,64,0.4,yy,0.60067832,0.70840835,0.60067832,0.70840835,2.56918317,3.42945353,0.29159165
12,1,64,0.8,xy,0.35128672,0.40748694,0.35128672,0.40748694,1.54498605,1.68772651,0.59251306
12,1,64,0.8,xx,0.36162144,0.41913083,0.36162144,0.41913083,1.57374262,1.72155805,0.58086917
12,1,64,0.8,yy,0.35202872,0.47499139,0.35202872,0.47499139,1.55847711,1.90473066,0.52500861
12,1,128,0.05,xy,0.93849481,0.94597871,0.93849481,0.94597871,16.36711235,18.51122195,0.05402129
12,1,128,0.05,xx,0.94401213,0.95701121,0.94401213,0.95701121,18.24727387,23.26188095,0.04298879
12,1,128,0.05,yy,0.94110583,0.94847425,0.94110583,0.94847425,17.19467871,19.40777319,0.05152575
12,1,128,0.1,xy,0.88060677,0.89460163,0.88060677,0.89460163,8.43008641,9.48781257,0.10539837
12,1,128,0.1,xx,0.88843544,0.91359741,0.88843544,0.91359741,9.13552284,11.57372663,0.08640259
12,1,128,0.1,yy,0.88263197,0.89679364,0.88263197,0.89679364,8.60741557,9.68932508,0.10320636
12,1,128,0.2,xy,0.77397547,0.7977614,0.77397547,0.7977614,4.44942055,4.94465444,0.2022386
12,1,128,0.2,xx,0.78430928,0.8299584,0.78430928,0.8299584,4.70873242,5.88091386,0.1700416
12,1,128,0.2,yy,0.77439168,0.80095306,0.77439168,0.80095306,4.46995392,5.02394068,0.19904694
12,1,128,0.4,xy,0.59313357,0.63007195,0.59313357,0.63007195,2.46761487,2.70322839,0.36992805
12,1,128,0.4,xx,0.6050187,0.66960091,0.6050187,0.66960091,2.55586202,3.02664273,0.33039909
12,1,128,0.4,yy,0.59129788,0.63461977,0.59129788,0.63461977,2.46073338,2.73687499,0.36538023
12,1,128,0.8,xy,0.34627228,0.38778288,0.34627228,0.38778288,1.53227181,1.63340743,0.61221712
12,1,128,0.8,xx,0.35568473,0.41043131,0.35568473,0.41043131,1.55725912,1.6961552,0.58956869
12,1,128,0.8,yy,0.34321311,0.39247372,0.34321311,0.39247372,1.52595443,1.64601933,0.60752628
12,2,32,0.05,xy,0.94388037,0.96263651,0.94388037,0.96263651,18.77262009,26.76409212,0.03736349
12,2,32,0.05,xx,0.99427444,0.99997285,0.99427444,0.99997285,3723.27478761,36834.52059081,2.715e-05
12,2,32,0.05,yy,0.99785827,0.99999117,0.99785827,0.99999117,12726.8333608,113243.54141671,8.83e-06
12,2,32,0.1,xy,0.89334561,0.91237578,0.89334561,0.91237578,9.57879308,11.41236964,0.08762422
12,2,32,0.1,xx,0.96025979,0.99497083,0.96025979,0.99497083,49.61016915,198.84006845,0.00502917
12,2,32,0.1,yy,0.97210716,0.99527946,0.97210716,0.99527946,65.70232576,211.84004986,0.00472054
12,2,32,0.2,xy,0.799184,0.8386966,0.799184,0.8386966,5.03848628,6.19949726,0.1613034
12,2,32,0.2,xx,0.87551266,0.95719599,0.87551266,0.95719599,9.79830739,23.36229934,0.04280401
12,2,32,0.2,yy,0.87757409,0.94640525,0.87757409,0.94640525,8.97444786,18.65854245,0.05359475
12,2,32,0.4,xy,0.6335608,0.69849445,0.6335608,0.69849445,2.75102228,3.31668851,0.30150555
12,2,32,0.4,xx,0.71313111,0.85753526,0.71313111,0.85753526,3.81539617,7.01928065,0.14246474
12,2,32,0.4,yy,0.69018797,0.80759952,0.69018797,0.80759952,3.3212918,5.19749235,0.19240048
12,2,32,0.8,xy,0.38886056,0.45549726,0.38886056,0.45549726,1.6422167,1.83653805,0.54450274
12,2,32,0.8,xx,0.45566606,0.64973389,0.45566606,0.64973389,1.89576372,2.85497216,0.35026611
12,2,32,0.8,yy,0.42463556,0.55708997,0.42463556,0.55708997,1.75383614,2.25779491,0.44291003
12,2,64,0.05,xy,0.94445007,0.95595855,0.94445007,0.95595855,18.31225858,22.70588141,0.04404145
12,2,64,0.05,xx,0.97959012,0.9901006,0.97959012,0.9901006,53.60572093,101.01624853,0.0098994
12,2,64,0.05,yy,0.98364641,0.99175435,0.98364641,0.99175435,72.26551712,121.27606908,0.00824565
12,2,64,0.1,xy,0.89186708,0.90738409,0.89186708,0.90738409,9.35816242,10.79728051,0.09261591
12,2,64,0.1,xx,0.92676304,0.94688938,0.92676304,0.94688938,14.15933942,18.82862674,0.05311062
12,2,64,0.1,yy,0.93644248,0.95829107,0.93644248,0.95829107,16.48303733,23.97568246,0.04170893
12,2,64,0.2,xy,0.79211327,0.82241017,0.79211327,0.82241017,4.85942177,5.63095312,0.17758983
12,2,64,0.2,xx,0.82694755,0.8708773,0.82694755,0.8708773,5.90263724,7.74457166,0.1291227
12,2,64,0.2,yy,0.83698287,0.89371039,0.83698287,0.89371039,6.36099566,9.40825716,0.10628961
