scenario,seed,n_star_true,n_hat_ucurve,n_hat_param,abs_err_ucurve,abs_err_param,rel_err_ucurve,rel_err_param,coverage_ucurve,coverage_param
piecewise,0,30.0,24.0,8.167445989119704,6.0,21.832554010880294,0.2,0.7277518003626765,1.0,1.0
piecewise,1,30.0,24.0,7.99854383193098,6.0,22.00145616806902,0.2,0.7333818722689673,1.0,1.0
piecewise,2,30.0,5.0,8.086287427980356,25.0,21.913712572019644,0.8333333333333334,0.7304570857339882,1.0,1.0
piecewise,3,30.0,5.0,8.176822982790405,25.0,21.823177017209595,0.8333333333333334,0.7274392339069865,1.0,1.0
piecewise,4,30.0,5.0,8.098810024092918,25.0,21.90118997590708,0.8333333333333334,0.7300396658635694,1.0,1.0
piecewise,5,30.0,5.0,8.116446118948991,25.0,21.883553881051007,0.8333333333333334,0.7294517960350336,1.0,1.0
piecewise,6,30.0,22.0,7.810387579722246,8.0,22.189612420277754,0.26666666666666666,0.7396537473425918,1.0,1.0
piecewise,7,30.0,37.0,8.24896634331255,7.0,21.75103365668745,0.23333333333333334,0.725034455222915,1.0,1.0
piecewise,8,30.0,5.0,8.222394079674197,25.0,21.777605920325804,0.8333333333333334,0.7259201973441934,1.0,1.0
piecewise,9,30.0,5.0,7.996696263759554,25.0,22.003303736240447,0.8333333333333334,0.7334434578746816,1.0,1.0
piecewise,10,30.0,5.0,8.307978018800345,25.0,21.692021981199655,0.8333333333333334,0.7230673993733219,1.0,1.0
piecewise,11,30.0,5.0,7.975514056669316,25.0,22.024485943330685,0.8333333333333334,0.7341495314443561,1.0,1.0
piecewise,12,30.0,24.0,7.92700040523658,6.0,22.07299959476342,0.2,0.7357666531587806,1.0,1.0
piecewise,13,30.0,5.0,7.887443154777047,25.0,22.112556845222954,0.8333333333333334,0.7370852281740985,1.0,1.0
piecewise,14,30.0,5.0,8.103097380776672,25.0,21.896902619223326,0.8333333333333334,0.7298967539741109,1.0,1.0
piecewise,15,30.0,5.0,7.983521397374466,25.0,22.016478602625533,0.8333333333333334,0.7338826200875178,1.0,1.0
piecewise,16,30.0,5.0,7.984783696753722,25.0,22.015216303246277,0.8333333333333334,0.7338405434415426,1.0,1.0
piecewise,17,30.0,20.0,8.249017537177359,10.0,21.75098246282264,0.3333333333333333,0.7250327487607547,1.0,1.0
piecewise,18,30.0,5.0,7.80469751219868,25.0,22.19530248780132,0.8333333333333334,0.739843416260044,1.0,1.0
piecewise,19,30.0,5.0,7.967818523516196,25.0,22.032181476483803,0.8333333333333334,0.7344060492161267,1.0,1.0
piecewise,20,30.0,27.0,8.142265131710658,3.0,21.85773486828934,0.1,0.7285911622763114,1.0,1.0
piecewise,21,30.0,22.0,7.996020612855566,8.0,22.003979387144433,0.26666666666666666,0.7334659795714811,1.0,1.0
piecewise,22,30.0,5.0,8.135333234046673,25.0,21.864666765953327,0.8333333333333334,0.7288222255317776,1.0,1.0
piecewise,23,30.0,30.0,8.145052486691585,0.0,21.854947513308417,0.0,0.7284982504436139,1.0,1.0
piecewise,24,30.0,37.0,8.074774458936433,7.0,21.92522554106357,0.23333333333333334,0.7308408513687856,1.0,1.0
piecewise,25,30.0,5.0,7.914265605416939,25.0,22.08573439458306,0.8333333333333334,0.736191146486102,1.0,1.0
piecewise,26,30.0,5.0,8.126498809727195,25.0,21.873501190272805,0.8333333333333334,0.7291167063424269,1.0,1.0
piecewise,27,30.0,22.0,8.176912787378365,8.0,21.823087212621637,0.26666666666666666,0.7274362404207212,1.0,1.0
